IPA,unicode,uni_name,ipa_name,phon_type
a,U+0061,latin small letter a,open front unrounded,base
æ,U+00E6,latin small letter ae,raised open front unrounded,base
ɐ,U+0250,latin small letter turned a,lowered schwa,base
ɑ,U+0251,latin small letter alpha,open back unrounded,base
ɒ,U+0252,latin small letter turned alpha,open back rounded,base
b,U+0062,latin small letter b,voiced bilabial plosive,base
ʙ,U+0299,latin letter small capital b,voiced bilabial trill,base
ɓ,U+0253,latin small letter b with hook,voiced bilabial implosive,base
c,U+0063,latin small letter c,voiceless palatal plosive,base
ç,U+00E7,latin small letter c with cedilla,voiceless palatal fricative,base
ɕ,U+0255,latin small letter c with curl,voiceless alveolo-palatal fricative,base
d,U+0064,latin small letter d,voiced alveolar plosive,base
ð,U+00F0,latin small letter eth,voiced dental fricative,base
ɖ,U+0256,latin small letter d with tail,voiced retroflex plosive,base
ɗ,U+0257,latin small letter d with hook,voiced dental/alveolar implosive,base
e,U+0065,latin small letter e,close-mid front unrounded,base
ə,U+0259,latin small letter schwa,mid-central schwa,base
ɛ,U+025B,latin small letter open e,open-mid front unrounded,base
ɘ,U+0258,latin small letter reversed e,close-mid central unrounded,base
ɜ,U+025C,latin small letter reversed open e,open-mid central unrounded,base
ɞ,U+025E,latin small letter closed reversed open e,open-mid central rounded,base
f,U+0066,latin small letter f,voiceless labiodental fricative,base
ɡ,U+0261,latin small letter script g,voiced velar plosive,base
ɢ,U+0262,latin letter small capital g,voiced uvular plosive,base
ɠ,U+0260,latin small letter g with hook,voiced velar implosive,base
ʛ,U+029B,latin letter small capital g with hook,voiced uvular implosive,base
ɤ,U+0264,latin small letter rams horn,close-mid back unrounded,base
ɣ,U+0263,latin small letter gamma,voiced velar fricative,base
h,U+0068,latin small letter h,voiceless glottal fricative,base
ħ,U+0127,latin small letter h with stroke,voiceless pharyngeal fricative,base
ʜ,U+029C,latin letter small capital h,voiceless epiglottal fricative,base
ɦ,U+0266,latin small letter h with hook,voiced glottal fricative,base
ɧ,U+0267,latin small letter heng with hook,simultaneous voiceless postalveolar-velar fricative,base
ɥ,U+0265,latin small letter turned h,voiced labial-palatal approximant,base
i,U+0069,latin small letter i,close front unrounded,base
ɪ,U+026A,latin letter small capital i,lax close front unrounded,base
ɨ,U+0268,latin small letter i with stroke,close central unrounded,base
j,U+006A,latin small letter j,voiced palatal approximant,base
ʝ,U+029D,latin small letter j with crossed tail,voiced palatal fricative,base
ɟ,U+025F,latin small letter dotless j with stroke,voiced palatal plosive,base
ʄ,U+0284,latin small letter dotless j with stroke and hook,voiced palatal implosive,base
k,U+006B,latin small letter k,voiceless velar plosive,base
l,U+006C,latin small letter l,voiced alveolar lateral approximant,base
ʟ,U+029F,latin letter small capital l,voiced velar lateral approximant,base
ɬ,U+026C,latin small letter l with belt,voiceless alveolar lateral fricative,base
ɭ,U+026D,latin small letter l with retroflex hook,voiced retroflex lateral approximant,base
ɮ,U+026E,latin small letter lezh,voiced alveolar lateral fricative,base
ʎ,U+028E,latin small letter turned y,voiced palatal lateral approximant,base
m,U+006D,latin small letter m,voiced bilabial nasal,base
ɱ,U+0271,latin small letter m with hook,voiced labiodental nasal,base
n,U+006E,latin small letter n,voiced alveolar nasal,base
ɴ,U+0274,latin letter small capital n,voiced uvular nasal,base
ɲ,U+0272,latin small letter n with left hook,voiced palatal nasal,base
ɳ,U+0273,latin small letter n with retroflex hook,voiced retroflex nasal,base
ŋ,U+014B,latin small letter eng,voiced velar nasal,base
o,U+006F,latin small letter o,close-mid back rounded,base
ø,U+00F8,latin small letter o with stroke,close-mid front rounded,base
œ,U+0153,latin small ligature oe,open-mid front rounded,base
ɶ,U+0276,latin letter small capital oe,open front rounded,base
ɔ,U+0254,latin small letter open o,open-mid back rounded,base
ɵ,U+0275,latin small letter barred o,close-mid central rounded,base
p,U+0070,latin small letter p,voiceless bilabial plosive,base
ɸ,U+0278,latin small letter phi,voiceless bilabial fricative,base
q,U+0071,latin small letter q,voiceless uvular plosive,base
r,U+0072,latin small letter r,voiced alveolar trill,base
ʀ,U+0280,latin letter small capital r,voiced uvular trill,base
ɹ,U+0279,latin small letter turned r,voiced alveolar approximant,base
ɺ,U+027A,latin small letter turned r with long leg,voiced alveolar lateral flap,base
